id;nombre;descripcion;observaciones;plataforma;fecha_fin;fecha_inicio;estado
1;mobile Fish;Home Loan Account Table Computer;Trace;Savings Account alarm;2023-03-12T01:57:10;2023-03-12T01:05:34;transmitter Implementation Electronics
2;Soap methodology Albania;Home Namibia;Steel zero administration;Multi-channelled Licensed;2023-03-11T11:36:20;2023-03-11T21:39:17;Cambridgeshire Mississippi
3;HDD;Table Small Frozen Sausages Planner;envisioneer Music Public-key;infomediaries;2023-03-11T23:31:04;2023-03-11T11:48:25;backing up Salad
4;Digitized invoice;convergence;Mayotte;Industrial;2023-03-11T06:13:56;2023-03-11T07:50:37;Markets Chief
5;capacitor archive;sky blue Tasty Plastic Pizza;compress South Georgia and the South Sandwich Islands;compelling mission-critical;2023-03-11T13:25:20;2023-03-11T19:49:22;scalable
6;Small;deliverables reinvent 24 hour;overriding;monitor 1080p Checking Account;2023-03-11T04:12:57;2023-03-11T17:50:37;Frozen IB
7;Highway Ergonomic;moratorium moratorium;New York tangible Mississippi;Frozen bus;2023-03-11T08:11:17;2023-03-11T09:07:31;Robust Networked
8;Poland;Small partnerships;Outdoors;Harbor Montana;2023-03-11T09:45:16;2023-03-11T04:39:55;Phased
9;Saint Lucia white;Generic neutral Salad;Auto Loan Account modular Refined;digital maroon;2023-03-11T05:01:32;2023-03-11T05:14:54;projection Fresh
10;support Gorgeous;withdrawal;copying;ability Hat Iraq;2023-03-11T14:48:39;2023-03-11T21:06:58;Concrete 24/7 Directives
